age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,558 sq ft,,1,1 BHK Apartment ,"6, ",Wagholi,Resale,Freehold,2999808,"₹ 5,376/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,200 sq ft",,5,5 BHK Villa ,Gr,Kalyani Nagar,Resale,Freehold,27500000,"₹ 12,500/ sq ft ","Ready to move,Semi-Furnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Golf Course,Rain Water Harvesting,Staff Quarter,Multipurpose Room","Children's play area,Landscaped Gardens","1,000 sq ft",,2,2 BHK Apartment ,"3, ",Vishrantwadi,Resale,Freehold,8900000,"₹ 8,900/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,935 sq ft",,3,3 BHK Apartment ,4,Kharadi,Resale,Freehold,13500000,"₹ 6,976/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Club House,Sports Facility,Landscaped Gardens","1,600 sq ft",,3,3 BHK Apartment ,2,Koregaon Park,Resale,Freehold,23000000,"₹ 14,375/ sq ft ","Ready to move,Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,768 sq ft",,3,3 BHK Apartment ,5,Hadapsar,Resale,Freehold,14500000,"₹ 8,201/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,655 sq ft",,3,3 BHK Apartment ,4,Hadapsar,Resale,Freehold,10000000,"₹ 6,042/ sq ft ","Ready to move,Unfurnished"
13 years,"Lift Available,24 X 7 Security,Landscaped Gardens","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track",700 sq ft,1,1,1 BHK Apartment ,"3, ",Aditya Birla Hospital Marg,Resale,Freehold,3800000,"₹ 5,428/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,561 sq ft,,1,1 BHK Apartment ,6,Wagholi,New,Freehold,2800000,"₹ 4,991/ sq ft ",Ready to move
5 - 6 years,"Car Parking,Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,122 sq ft",1,2,3 BHK Apartment ,"11, ",Dhayari,Resale,Freehold,7500000,"₹ 6,684/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,24 X 7 Security,"Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",457 sq ft,,1,1 BHK Apartment ,"1, ",Kothrud,Resale,Co-Operative Society,5950000,"₹ 13,019/ sq ft ","Ready to move,Unfurnished"
7 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",650 sq ft,1,1,1 BHK Apartment ,"2, ",Talegaon,Resale,Freehold,2700000,"₹ 4,153/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,010 sq ft",2,2,2 BHK Apartment ,"5, ",Shastri Nagar,Resale,Co-Operative Society,8350000,"₹ 8,267/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,010 sq ft",1,2,2 BHK Apartment ,"1, ",Shastri Nagar,Resale,Co-Operative Society,7500000,"₹ 7,425/ sq ft ","Ready to move,Furnished"
1 - 2 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,674 sq ft",2,2,3 BHK Apartment ,"7, ",Shastri Nagar,Resale,Freehold,16200000,"₹ 9,677/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,"Lift Available,Car Parking,BED","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,800 sq ft",1,3,3 BHK Independent House ,1,Koregaon Park,Resale,Freehold,25000000,"₹ 13,888/ sq ft ","Ready to move,Unfurnished"
5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,482 sq ft",,3,3 BHK Apartment ,"6, ",Baner,Resale,Freehold,11000000,"₹ 7,422/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC,Wardrobe,TV,Sofa,Microwave,BED","Children's play area,Sports Facility,Refrigerator,Wifi,Dining Table,Gas connection",930 sq ft,,2,2 BHK Apartment ,"2, ",Pimple Saudagar,Resale,Freehold,6300000,"₹ 6,774/ sq ft ","Ready to move,Semi-Furnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Golf Course,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,AC,Wardrobe,TV,Gas connection,BED","Sports Facility,Refrigerator,Sofa,Wifi,Dining Table","1,020 sq ft",,2,2 BHK Apartment ,"4, ",Pimple Saudagar,Resale,Freehold,6500000,"₹ 6,372/ sq ft ","Ready to move,Semi-Furnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Staff Quarter,Landscaped Gardens,School,ATM,AC,Wardrobe,TV,Sofa,BED","Swimming Pool,Sports Facility,Refrigerator,Wifi,Dining Table,Gas connection","1,021 sq ft",,2,2 BHK Apartment ,"1, ",Pimple Saudagar,New,Freehold,6100000,"₹ 5,974/ sq ft ",Ready to move
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Golf Course,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED",610 sq ft,2,1,1 BHK Apartment ,"5, ",Lohegaon,Resale,Co-Operative Society,3700000,"₹ 6,065/ sq ft ","Ready to move,Unfurnished"
12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,BED","Gymnasium,Wifi,Gas connection","1,180 sq ft",,2,2 BHK Apartment ,"4, ",Aundh,Resale,Freehold,7500000,"₹ 6,355/ sq ft ","Ready to move,Semi-Furnished"
10 - 11 years,"Lift Available,Car Parking,BED","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,600 sq ft",2,5,4 BHK Apartment ,"8, ",Koregaon Park,Resale,Co-Operative Society,45000000,"₹ 17,307/ sq ft ","Ready to move,Furnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","3,186 sq ft",3,4,4 BHK Apartment ,"2, ",Koregaon Park,Resale,Freehold,36000000,"₹ 11,299/ sq ft ","Ready to move,Semi-Furnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,650 sq ft",2,3,3 BHK Apartment ,"10, ",Koregaon Park,Resale,Co-Operative Society,20000000,"₹ 12,121/ sq ft ","Ready to move,Furnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,620 sq ft",2,3,3 BHK Apartment ,"7, ",Koregaon Park,Resale,Co-Operative Society,13600000,"₹ 8,395/ sq ft ","Ready to move,Unfurnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,800 sq ft",2,5,4 BHK Apartment ,"4, ",Koregaon Park,Resale,Freehold,31500000,"₹ 11,250/ sq ft ","Ready to move,Semi-Furnished"
10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,180 sq ft",1,3,3 BHK Apartment ,"8, ",Koregaon Park,Resale,Freehold,23500000,"₹ 10,779/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Car Parking,Power Backup,24 X 7 Security,Jogging Track","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,800 sq ft",,3,3 BHK Villa ,Gr,Viman Nagar,Resale,Freehold,12500000,"₹ 6,944/ sq ft ","Ready to move,Semi-Furnished"
1 year,"Lift Available,Car Parking,Power Backup","24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",423 sq ft,1,1,1 BHK Apartment ,"4, ",Talegaon Dabhade,New,Freehold,2100000,"₹ 4,964/ sq ft ",Ready to move
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,800 sq ft",2,3,3 BHK Apartment ,"5, ",Koregaon Park,Resale,Freehold,27500000,"₹ 15,277/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Staff Quarter,Landscaped Gardens,AC,Refrigerator,Sofa,Microwave","Sports Facility,Jogging Track,Wardrobe,TV,Wifi,Dining Table,Gas connection,BED","1,150 sq ft",1,2,2 BHK Apartment ,"2, ",Pimple Saudagar,Resale,Freehold,6800000,"₹ 5,913/ sq ft ","Ready to move,Semi-Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,160 sq ft",,2,2 BHK Apartment ,4,Kalyani Nagar,Resale,Freehold,10500000,"₹ 9,051/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Lift Available,Children's play area,Club House,Sports Facility,Landscaped Gardens",730 sq ft,,2,2 BHK Apartment ,1,Viman Nagar,Resale,Freehold,6500000,"₹ 8,904/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,850 sq ft",,3,3 BHK Apartment ,5,Koregaon Park,Resale,Co-Operative Society,23000000,"₹ 12,432/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,800 sq ft",,3,3 BHK Apartment ,4,Viman Nagar,Resale,Freehold,11400000,"₹ 6,333/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,790 sq ft",,3,3 BHK Apartment ,4,Wadgaon Sheri,Resale,Freehold,12500000,"₹ 6,983/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,635 sq ft",,3,3 BHK Apartment ,5,Kharadi,Resale,Freehold,11500000,"₹ 7,033/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Swimming Pool,Rain Water Harvesting","Children's play area,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,265 sq ft",,2,2 BHK Apartment ,3,Viman Nagar,Resale,Freehold,11000000,"₹ 8,695/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,500 sq ft",,3,3 BHK Apartment ,Gr,Wadgaon Sheri,Resale,Freehold,13000000,"₹ 8,666/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,265 sq ft",,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,12500000,"₹ 9,881/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,650 sq ft",,3,3 BHK Apartment ,4,Kharadi,Resale,Freehold,10000000,"₹ 6,060/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Jogging Track","Children's play area,Club House,Gymnasium,Sports Facility,Landscaped Gardens","1,850 sq ft",,3,3 BHK Apartment ,4,Viman Nagar,New,Freehold,10500000,"₹ 5,675/ sq ft ",Ready to move
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Rain Water Harvesting","Children's play area,Club House,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,200 sq ft",,3,3 BHK Apartment ,1,Koregaon Park,Resale,Freehold,14000000,"₹ 6,363/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,630 sq ft",,3,3 BHK Apartment ,3,Wadgaon Sheri,Resale,Freehold,11000000,"₹ 6,748/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,635 sq ft",,3,3 BHK Apartment ,5,Kharadi,Resale,Freehold,12000000,"₹ 7,339/ sq ft ","Ready to move,Semi-Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,648 sq ft",,3,3 BHK Apartment ,3,Kharadi,New,Freehold,9558400,"₹ 5,800/ sq ft ",Ready to move
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Children's play area,Sports Facility","1,126 sq ft",,2,2 BHK Apartment ,2,Viman Nagar,Resale,Freehold,10000000,"₹ 8,880/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Indoor Games,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital","Swimming Pool,Sports Facility",770 sq ft,,2,2 BHK Apartment ,"2, ",Wagholi,New,Freehold,3500000,"₹ 4,545/ sq ft ",Ready to move
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,340 sq ft",,3,3 BHK Villa ,Gr,Viman Nagar,Resale,Freehold,20000000,"₹ 14,925/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Car Parking,Power Backup,24 X 7 Security,Gymnasium,Jogging Track","Lift Available,Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","2,200 sq ft",,3,3 BHK Villa ,Gr,Wagholi,Resale,Freehold,10000000,"₹ 4,545/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,700 sq ft",,3,3 BHK Apartment ,Gr ,Viman Nagar,Resale,Freehold,20000000,"₹ 11,764/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,300 sq ft",,4,4 BHK Apartment ,Gr ,Kharadi,Resale,Freehold,16000000,"₹ 6,956/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","4,100 sq ft",,4,4 BHK Apartment ,"1, ",Sangamvadi,Resale,Freehold,65000000,"₹ 15,853/ sq ft ","Ready to move,Unfurnished"
